Context,Topic of discussion,Representative tweet
GOP will keep defending Bundy,0. campaign talking points candidates gop,460823678738243584
blacks voted 39% GOP \n1960,1.rose blacks,460832577008697344
earn black vote Period We,2.vote hispanicwoman,460823678738243584
all black people want free,3.people,460909441525628928
Dems free stuff,4.stuff,460824078904209408
voted 15% GOP\n,5.gopn,460832577008697344
keep defending Bundy mess is,6.bundy,460823678738243584
outbid the Dems free stuff,7.dems,460824078904209408
to control ppl will do anything,8.ppl,460834407675228161
but votes are earned not just,9.votes,461126676630347776
